inc_number,occurred_on,ucr_crime_category,100_block_addr,zip,premise_type,year,month,day_name,hour
201700001603695,2015-11-01 00:00:00,RAPE,3800 W CAMELBACK RD,85019,HOSPITAL,2015.0,11.0,Sunday,0.0
201600000527709,2015-11-01 00:00:00,LARCENY-THEFT,3300 W CAMELBACK RD,85017,PARKING LOT,2015.0,11.0,Sunday,0.0
201500002168686,2015-11-01 00:00:00,LARCENY-THEFT,1400 E HIGHLAND AVE,85014,PARKING LOT,2015.0,11.0,Sunday,0.0
201500002101405,2015-11-01 00:00:00,MOTOR VEHICLE THEFT,10200 W MEDLOCK AVE,85307,SINGLE FAMILY HOUSE,2015.0,11.0,Sunday,0.0
201700001722914,2015-11-01 00:00:00,LARCENY-THEFT,27900 N 23RD LN,85085,SINGLE FAMILY HOUSE,2015.0,11.0,Sunday,0.0
201500002102327,2015-11-01 00:00:00,LARCENY-THEFT,5100 N 15TH ST,85014,APARTMENT,2015.0,11.0,Sunday,0.0
201600000594484,2015-11-01 00:00:00,RAPE,1300 E ALMERIA RD,85006,SINGLE FAMILY HOUSE,2015.0,11.0,Sunday,0.0
201500002103724,2015-11-01 00:00:00,DRUG OFFENSE,5400 W INDIAN SCHOOL RD,85031,APARTMENT,2015.0,11.0,Sunday,0.0
201500002102668,2015-11-01 00:00:00,MOTOR VEHICLE THEFT,6900 W WOOD ST,85043,SINGLE FAMILY HOUSE,2015.0,11.0,Sunday,0.0
201600000052855,2015-11-01 00:00:00,MOTOR VEHICLE THEFT,N 43RD AVE & W CACTUS RD,85029,SINGLE FAMILY HOUSE,2015.0,11.0,Sunday,0.0
201500002102467,2015-11-01 00:01:00,LARCENY-THEFT,6500 N 17TH AVE,85015,VEHICLE,2015.0,11.0,Sunday,0.0
201500002334281,2015-11-01 00:01:00,MOTOR VEHICLE THEFT,1700 W DESERT COVE AVE,85029,PARKING LOT,2015.0,11.0,Sunday,0.0
201500002102481,2015-11-01 00:01:00,LARCENY-THEFT,8800 N BLACK CANYON FWY,85051,HOTEL / MOTEL,2015.0,11.0,Sunday,0.0
201500002326780,2015-11-01 00:01:00,BURGLARY,600 W BEVERLY LN,85023,SINGLE FAMILY HOUSE,2015.0,11.0,Sunday,0.0
201600000223791,2015-11-01 00:01:00,BURGLARY,4000 E MCDOWELL RD,85008,STOREROOM/SHED (COMMERCIAL),2015.0,11.0,Sunday,0.0
201500002102534,2015-11-01 00:01:00,BURGLARY,3800 W HOLLY ST,85009,SINGLE FAMILY HOUSE,2015.0,11.0,Sunday,0.0
201500002391368,2015-11-01 00:01:00,LARCENY-THEFT,4300 E CORTEZ ST,85028,SINGLE FAMILY HOUSE,2015.0,11.0,Sunday,0.0
201600000575804,2015-11-01 00:01:00,LARCENY-THEFT,4600 W FREMONT RD,85339,SINGLE FAMILY HOUSE,2015.0,11.0,Sunday,0.0
201500002147335,2015-11-01 00:01:00,LARCENY-THEFT,11000 N 35TH AVE,85029,VEHICLE,2015.0,11.0,Sunday,0.0
201600000623876,2015-11-01 00:01:00,LARCENY-THEFT,20200 N 6TH DR,85027,SINGLE FAMILY HOUSE,2015.0,11.0,Sunday,0.0
201500002371588,2015-11-01 00:01:00,LARCENY-THEFT,3500 E PINCHOT AVE,85018,HOSPITAL,2015.0,11.0,Sunday,0.0
201600000042041,2015-11-01 00:01:00,MOTOR VEHICLE THEFT,4800 E DESERT COVE AVE,85254,CONDO / TOWNHOUSE,2015.0,11.0,Sunday,0.0
201600002077992,2015-11-01 00:01:00,LARCENY-THEFT,2500 W AUGUSTA AVE,85051,PARKING LOT,2015.0,11.0,Sunday,0.0
201600000090387,2015-11-01 00:01:00,LARCENY-THEFT,19600 N 6TH PL,85024,SINGLE FAMILY HOUSE,2015.0,11.0,Sunday,0.0
201500002100158,2015-11-01 00:05:00,MOTOR VEHICLE THEFT,2800 W CAMELBACK RD,85017,CONVENIENCE MARKET / STORE,2015.0,11.0,Sunday,0.0
201500002101675,2015-11-01 00:30:00,LARCENY-THEFT,4200 E WESTERN STAR BLVD,85044,DRIVEWAY,2015.0,11.0,Sunday,0.0
201500002103050,2015-11-01 01:00:00,LARCENY-THEFT,4600 W MCDOWELL RD,85035,VEHICLE,2015.0,11.0,Sunday,1.0
201500002103663,2015-11-01 01:00:00,LARCENY-THEFT,2100 W DARREL RD,85041,SINGLE FAMILY HOUSE,2015.0,11.0,Sunday,1.0
201500002119698,2015-11-01 01:30:00,LARCENY-THEFT,7100 N 33RD AVE,85051,SINGLE FAMILY HOUSE,2015.0,11.0,Sunday,1.0
201500002101758,2015-11-01 01:45:00,MOTOR VEHICLE THEFT,200 W FILLMORE ST,85003,PARKING LOT,2015.0,11.0,Sunday,1.0
201510000015577,2015-11-01 02:00:00,AGGRAVATED ASSAULT,5000 E THOMAS RD,85018,RESTAURANT,2015.0,11.0,Sunday,2.0
201500002101185,2015-11-01 02:00:00,MOTOR VEHICLE THEFT,3500 E AMBERWOOD DR,85048,SINGLE FAMILY HOUSE,2015.0,11.0,Sunday,2.0
201500002105677,2015-11-01 02:00:00,AGGRAVATED ASSAULT,4100 N 51ST AVE,85031,RESTAURANT,2015.0,11.0,Sunday,2.0
201500002103448,2015-11-01 02:00:00,MOTOR VEHICLE THEFT,8500 W MIAMI ST,85353,STREET / ROADWAY / ALLEY / SIDEWALK,2015.0,11.0,Sunday,2.0
201500002100875,2015-11-01 02:38:00,BURGLARY,900 E INDIAN SCHOOL RD,85014,FAST FOOD STORE,2015.0,11.0,Sunday,2.0
201500002117393,2015-11-01 03:00:00,MOTOR VEHICLE THEFT,1700 E MCLELLAN BLVD,85016,SINGLE FAMILY HOUSE,2015.0,11.0,Sunday,3.0
201500002102927,2015-11-01 04:00:00,LARCENY-THEFT,17600 N 7TH ST,85022,APARTMENT,2015.0,11.0,Sunday,4.0
201500002133436,2015-11-01 04:00:00,RAPE,7600 W WHITTON AVE,85033,SINGLE FAMILY HOUSE,2015.0,11.0,Sunday,4.0
201500002101067,2015-11-01 04:12:00,MURDER AND NON-NEGLIGENT MANSLAUGHTER,00 N 67TH AVE,85043,FENCED COMMERCIAL YARD,2015.0,11.0,Sunday,4.0
201500002101137,2015-11-01 04:14:00,ROBBERY,13800 S 44TH ST,85044,STREET / ROADWAY / ALLEY / SIDEWALK,2015.0,11.0,Sunday,4.0
201500002101134,2015-11-01 04:25:00,BURGLARY,2200 E BROADWAY RD,85040,RESTAURANT,2015.0,11.0,Sunday,4.0
201500002126247,2015-11-01 05:00:00,BURGLARY,1700 W DESERT COVE AVE,85029,APARTMENT,2015.0,11.0,Sunday,5.0
201500002101284,2015-11-01 05:38:00,MOTOR VEHICLE THEFT,8700 S 47TH LN,85339,STREET / ROADWAY / ALLEY / SIDEWALK,2015.0,11.0,Sunday,5.0
201500002277994,2015-11-01 06:00:00,BURGLARY,2700 W NORTHERN AVE,85051,STOREROOM/SHED (COMMERCIAL),2015.0,11.0,Sunday,6.0
201600000127791,2015-11-01 06:00:00,LARCENY-THEFT,2100 E VIRGINIA AVE,85006,SCHOOL-ELEMENTARY/SECONDARY,2015.0,11.0,Sunday,6.0
201500002101372,2015-11-01 06:10:00,AGGRAVATED ASSAULT,4200 N 12TH ST,85014,PARKING LOT,2015.0,11.0,Sunday,6.0
201500002104197,2015-11-01 06:53:00,BURGLARY,3000 W PARKSIDE LN,85027,SINGLE FAMILY HOUSE,2015.0,11.0,Sunday,6.0
201500002101524,2015-11-01 07:29:00,LARCENY-THEFT,1800 W BELL RD,85023,GROCERY / SUPER MARKET,2015.0,11.0,Sunday,7.0
201500002101564,2015-11-01 07:40:00,LARCENY-THEFT,3400 W DUNLAP AVE,85051,RETAIL BUSINESS,2015.0,11.0,Sunday,7.0
201500002102369,2015-11-01 07:50:00,LARCENY-THEFT,3400 N 23RD AVE,85015,SINGLE FAMILY HOUSE,2015.0,11.0,Sunday,7.0
201500002302045,2015-11-01 08:00:00,LARCENY-THEFT,3200 W LINCOLN ST,85009,GAS / SERVICE STATION,2015.0,11.0,Sunday,8.0
201600000034740,2015-11-01 08:00:00,MOTOR VEHICLE THEFT,2500 W AUGUSTA AVE,85051,FENCED RESIDENTIAL YARD,2015.0,11.0,Sunday,8.0
201500002101781,2015-11-01 08:00:00,MOTOR VEHICLE THEFT,1600 W MCDOWELL RD,85007,PARKING LOT,2015.0,11.0,Sunday,8.0
201500002161714,2015-11-01 08:00:00,BURGLARY,4300 N 66TH DR,85033,SINGLE FAMILY HOUSE,2015.0,11.0,Sunday,8.0
201500002332817,2015-11-01 08:00:00,LARCENY-THEFT,500 N 40TH AVE,85009,PARKING LOT,2015.0,11.0,Sunday,8.0
201500002105056,2015-11-01 09:00:00,BURGLARY,2700 E BRILL ST,85008,SINGLE FAMILY HOUSE,2015.0,11.0,Sunday,9.0
201500002108029,2015-11-01 09:00:00,RAPE,4200 W MULBERRY DR,85019,SINGLE FAMILY HOUSE,2015.0,11.0,Sunday,9.0
201500002403298,2015-11-01 09:00:00,BURGLARY,14800 S 25TH PL,85048,SINGLE FAMILY HOUSE,2015.0,11.0,Sunday,9.0
201580008946,2015-11-01 09:14:00,BURGLARY,4700 W HARWELL RD,85339,SINGLE FAMILY HOUSING,2015.0,11.0,Sunday,9.0
